Algorithm,cosine,euclidean,adjusted_cosine_similarity,common_pearson_corr,extended_jaccard,jaccard,mean_centered_cosine,median_centered_pearson_corr,pearson_corr,common_spearman_rank_correlation,mean_squared_difference,spearman_rank_correlation
RMSE,0.933176445643,0.97114789567,0.971975659929,0.986123983238,0.9301797913,0.936808008308,0.935038633356,0.965215157005,0.923741663112,0.986410148702,1.061427809,0.944126399675
MAE,0.728675238545,0.761475634715,0.760959723395,0.771429147264,0.724746393768,0.729951270476,0.725654063938,0.755845053043,0.720728497014,0.77149933066,0.828255095556,0.735220239469
