Algorithm,cosine,extended_jaccard,median_centered_pearson_corr,pearson_corr,spearman_rank_correlation
RMSE,1.34358873666,1.34722332717,1.36230345125,1.34448528935,1.3645368054
MAE,1.00326473478,1.00872473478,1.01296473478,1.00373473478,1.01719473478
