Algorithm,cosine,extended_jaccard,median_centered_pearson_corr,pearson_corr,mean_squared_difference,spearman_rank_correlation
RMSE,1.0137234025,1.01158636846,0.999557736715,1.01214763617,0.985810323035,1.02371882716
MAE,0.806413346486,0.806556013032,0.787090679042,0.804933680189,0.778599679991,0.81449301312
