Algorithm,cosine,adjusted_cosine_similarity,extended_jaccard,median_centered_pearson_corr,pearson_corr,mean_squared_difference,spearman_rank_correlation
RMSE,0.994244801139,0.975526856953,0.968440179297,0.978597206384,0.974006549976,0.989467406427,0.984256460936
MAE,0.779046097521,0.768462211807,0.759774210718,0.76708487728,0.766893764637,0.77900854484,0.776134431409
