Algorithm,cosine,adjusted_cosine_similarity,extended_jaccard,median_centered_pearson_corr,pearson_corr
RMSE,1.24268579219,1.42703769323,1.22388176631,1.39884830411,1.23293470148
MAE,0.881674432254,1.04941691376,0.865666913757,1.02413691376,0.875194432254
