Algorithm,cosine,adjusted_cosine_similarity,extended_jaccard,median_centered_pearson_corr,pearson_corr,mean_squared_difference,spearman_rank_correlation
RMSE,1.0404844946,1.14199188778,1.011349991,1.11812587468,1.01957081621,1.17564541508,1.04358473247
MAE,0.792214435886,0.8851235811,0.772133582724,0.863556915067,0.779337767829,0.91008024848,0.799744434391
